14.6387 -1.96269 -0.394727 0.10566 66.9201 -0.213091 -1.20393 1 58.995 -1.79128 -0.173638 1 38.9797 1.11902 1.58829 0 23.75 -0.805028 2.81854 0 
139.931 -0.311381 3.05841 0.000510994 205.904 0.0842482 -0.258873 0 139.541 -0.311092 3.05086 0 38.1152 0.301878 1.70857 1 11.7113 1.07101 -2.6027 1 
66.303 -0.851197 1.07808 0.10566 89.2276 -0.0658756 2.57822 1 78.3324 -0.324255 -1.70808 1 62.6855 -0.894898 1.07093 0 40.5915 -0.188507 -0.00615036 0 
93.9691 -0.573549 -2.61096 0.10566 108.732 0.625092 1.32194 1 94.9517 -0.551531 -2.61755 0 44.965 -0.304408 0.0979076 1 17.2602 -0.71087 -1.78524 0 
38.7526 -1.70223 0.828146 0.000510999 71.2212 0.00460137 -1.95573 1 42.1883 -0.950547 2.10254 0 39.4262 -1.68968 0.876541 0 11.2029 1.04435 -3.04707 1 
121.01 -0.113576 1.02729 0.000510994 214.446 0.506448 -1.38971 0 116.952 -0.138552 1.01549 0 83.1691 0.601662 -2.43216 1 61.4099 0.754812 2.03948 1 
6.31761 1.85981 -1.94361 0.000511 68.1672 0.693685 2.44173 0 49.1996 0.849677 -1.42043 1 31.8489 1.70526 -2.1004 0 19.2096 1.72319 3.01776 1 
49.0357 -0.0750343 0.512235 0.10566 71.4738 -0.113923 0.599307 0 68.9296 -0.520711 -2.11145 1 68.8381 0.00877586 -0.825192 0 64.6306 -0.165582 2.80211 1 
93.4658 0.141025 -2.45706 0.10566 98.3099 0.13133 -2.43731 0 53.1034 0.768018 1.11335 0 43.2424 -0.101941 1.83605 1 39.7598 -1.47869 0.507124 1 
60.2743 -1.4354 -2.92685 0.10566 61.4208 -1.45136 -2.94557 0 60.5693 -0.0298205 0.212583 0 48.0998 0.673855 3.13094 1 46.9379 -0.880242 -0.493083 1 
3.33605 -3.11921 -2.8203 0.10566 74.5435 -0.166522 -1.27802 1 40.465 0.986913 2.13818 1 26.0237 -1.57113 2.58608 0 13.8241 -1.5858 1.9722 0 
33.1635 1.33258 -2.63149 0.10566 81.5071 0.237903 2.97081 1 70.6291 -0.13431 -1.16072 1 65.7943 0.722942 0.849136 0 36.3001 1.33094 -2.6478 0 
14.0061 1.57638 -1.40912 0.000511 86.7218 0.576211 -1.81451 1 72.0581 1.35028 2.41876 0 26.8725 -0.625153 2.9989 1 16.8998 1.5537 -1.42241 0 
35.4074 -1.06433 0.557341 0.10566 77.1038 -0.357989 1.20419 1 71.8976 0.278163 -3.10341 0 68.377 -0.0574304 -1.01288 1 36.4649 -1.07235 0.595617 0 
38.5793 -0.914511 -0.103718 0.10566 47.9013 0.0322845 1.06581 0 41.0322 0.914377 -2.40086 1 38.7434 1.64106 -1.85796 1 38.5428 -0.945713 -0.115488 0 
82.8911 0.372832 2.17467 0.10566 94.199 0.446222 -1.07836 1 83.8925 0.37369 2.15267 0 62.2597 0.868087 -2.82381 0 57.5915 0.316087 0.420631 1 
17.9549 -1.89745 -2.64204 0.000511001 59.2661 -1.83573 -2.40661 1 48.5545 -0.792444 -0.909494 0 35.3906 1.05654 0.667181 1 15.7981 1.24416 -2.59096 0 
31.9947 0.22224 -2.12174 0.000510999 79.7584 0.566603 3.08012 1 54.8258 0.90574 0.616027 1 44.9501 -0.0617431 1.74062 0 32.8769 0.196837 -2.13368 0 
15.7676 -0.952432 -1.15558 0.000511 128.517 0.103538 0.0290002 1 94.952 -0.121692 2.02528 1 54.4195 -0.736237 -1.25551 0 13.5948 1.82807 -2.12062 0 
22.9503 -0.771288 -1.63395 0.10566 74.8501 -0.812006 -1.19788 1 74.6736 -0.435379 0.439328 0 62.7462 0.0108809 1.42972 1 32.9229 -0.762525 -1.63206 0 
46.5343 0.764584 -1.25238 0.10566 92.8748 -1.26155 1.65215 0 48.293 0.751708 -1.21939 0 43.224 0.105451 -2.94145 1 17.8692 0.334042 -1.46619 1 
25.1945 -0.68085 3.07559 0.000511 81.2801 -0.438338 0.861246 1 71.6843 -0.646379 -1.63341 1 50.008 -0.76236 -3.11093 0 46.6584 0.725023 -2.42361 0 
28.4835 0.372734 -3.1273 0.10566 80.8254 -0.0677141 1.59749 1 60.6536 1.15569 1.11469 1 46.6908 0.398919 -1.29439 0 28.5161 0.373068 -3.13947 0 
25.2945 -0.269665 1.15668 0.000511 115.46 -0.404829 1.01238 0 66.305 -0.158948 -1.2708 1 30.4307 -0.516165 -0.694323 0 27.6428 -1.05452 -2.85272 1 
